Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
536;E:\Data\CT2020\Portraits\Chine\S248 CH - 495.JPG;Chine;49.90313511;185.653125;1.784650158;0.982794347;0.15189926;0.949822229;0.811785145;0.308850232
537;E:\Data\CT2020\Portraits\Chine\S249 CH - 498.JPG;Chine;44.8221932;147.7575;1.815353778;0.989257671;0.165680574;1.003996378;0.892920696;0.335903619
538;E:\Data\CT2020\Portraits\Chine\S250 CH - 500.JPG;Chine;41.29195319;121.64625;1.794806507;1.044118838;0.159928849;0.816625427;0.765060303;0.278225261
539;E:\Data\CT2020\Portraits\Chine\S251 CH - 502.JPG;Chine;46.27671279;182.79;1.810935296;0.972347475;0.176461887;1.088592156;0.945754713;0.374893076
540;E:\Data\CT2020\Portraits\Chine\S252 CH - 503.JPG;Chine;48.62117031;135.9225;1.781471591;1.106127748;0.16708382;0.7836047;0.636331445;0.25722793
541;E:\Data\CT2020\Portraits\Chine\S253 CH - 506.JPG;Chine;43.50647212;118.89;1.784684662;1.103180817;0.165277864;0.827573578;0.73715655;0.279708167
542;E:\Data\CT2020\Portraits\Chine\S254 CH - 508.JPG;Chine;44.9265475;122.13;1.80552025;1.058776449;0.181595271;0.766404554;0.677254437;0.251836298
543;E:\Data\CT2020\Portraits\Chine\S255 CH - 509.JPG;Chine;44.8507763;175.33125;1.805825924;1.087894854;0.193223973;0.972410855;0.808894224;0.306795824
544;E:\Data\CT2020\Portraits\Chine\S256 CH - 511.JPG;Chine;43.34496107;163.141875;1.800358842;1.060466676;0.16552619;0.924405489;0.786192614;0.299156795
545;E:\Data\CT2020\Portraits\Chine\S257 CH - 514.JPG;Chine;45.29835361;200.480625;1.804051841;1.041265061;0.149383068;1.001582747;0.865285988;0.342593953
546;E:\Data\CT2020\Portraits\Chine\S258 CH - 516.JPG;Chine;39.78811339;141.013125;1.838318233;0.996262338;0.098867903;0.97361127;0.864692636;0.32791403
547;E:\Data\CT2020\Portraits\Chine\S259 CH - 517.JPG;Chine;43.58125602;202.201875;1.809510867;0.980677236;0.194427949;1.17898043;1.04671883;0.399073827
548;E:\Data\CT2020\Portraits\Chine\S260 CH - 519.JPG;Chine;45.12880126;159.463125;1.805377539;1.023567569;0.147897386;1.034254632;0.841030446;0.330229268
549;E:\Data\CT2020\Portraits\Chine\S261 CH - 521.JPG;Chine;48.01326194;185.540625;1.788608494;0.998883896;0.144486223;0.975556129;0.818665956;0.310030822
550;E:\Data\CT2020\Portraits\Chine\S262 CH - 524.JPG;Chine;41.01955274;105.73875;1.77582125;1.036779109;0.102970964;0.673707934;0.624668338;0.225978893
551;E:\Data\CT2020\Portraits\Chine\S263 CH - 526.JPG;Chine;45.46584038;185.07375;1.773848189;1.037954757;0.151568934;0.937155238;0.897092616;0.32425172
552;E:\Data\CT2020\Portraits\Chine\S264 CH - 528.JPG;Chine;44.9654212;192.1275;1.825789445;0.942350709;0.111213382;1.055759522;0.916957133;0.344874449
553;E:\Data\CT2020\Portraits\Chine\S265 CH - 529.JPG;Chine;43.96178703;160.6275;1.800426759;1.017837972;0.153887907;0.962017104;0.815788162;0.316256038
554;E:\Data\CT2020\Portraits\Chine\S266 CH - 531.JPG;Chine;41.29440477;158.866875;1.797026275;0.991734988;0.173876718;1.01758181;0.856052897;0.334723608
555;E:\Data\CT2020\Portraits\Chine\S267 CH - 533.JPG;Chine;45.66211223;198.45;1.796715734;1.025609541;0.169086964;1.03367732;0.903502754;0.346501262
556;E:\Data\CT2020\Portraits\Chine\S268 CH - 535.JPG;Chine;41.51734628;160.689375;1.790553231;0.996653035;0.15220842;0.950278183;0.802335095;0.310113905
557;E:\Data\CT2020\Portraits\Chine\S269 CH - 537.JPG;Chine;50.05054135;173.64375;1.809767264;1.05850225;0.165778505;0.97704779;0.841884829;0.328399151
558;E:\Data\CT2020\Portraits\Chine\S270 CH - 539.JPG;Chine;45.62785531;156.6;1.805625123;0.897695342;0.137818436;0.989701401;0.913477722;0.334394495
559;E:\Data\CT2020\Portraits\Chine\S271 CH - 541.JPG;Chine;42.38578208;166.2975;1.805805211;0.99753128;0.172190119;0.911512398;0.842136077;0.309935975
560;E:\Data\CT2020\Portraits\Chine\S272 CH - 544.JPG;Chine;45.23463027;182.35125;1.789653423;1.022451762;0.137988381;0.942786524;0.876736199;0.32557149
561;E:\Data\CT2020\Portraits\Chine\S273 CH - 545.JPG;Chine;44.02749141;191.475;1.807882377;0.907815048;0.167004408;1.079952928;0.91192953;0.354009304
562;E:\Data\CT2020\Portraits\Chine\S274 CH - 547.JPG;Chine;48.98393462;154.951875;1.770967708;1.040826851;0.140576334;0.827878586;0.763660791;0.284804471
563;E:\Data\CT2020\Portraits\Chine\S275 CH - 549.JPG;Chine;43.63212405;152.015625;1.794373316;0.975607375;0.152635461;0.998659799;0.869764002;0.329475438
564;E:\Data\CT2020\Portraits\Chine\S276 CH - 551.JPG;Chine;51.08750899;133.25625;1.812089276;1.049191476;0.159007118;0.924063486;0.728063247;0.288358842
